# Existing direct encoding/json function calls.
#
# AGENTS.md requires business code to use common/json.go wrappers for JSON
# marshal/unmarshal operations. This baseline freezes existing call sites
# so new direct calls fail CI while old code is migrated incrementally.
#
# Format: <path>|<enclosing function>|<json selector>|<sha256(normalized call)>
relay/channel/ollama/relay-ollama.go|openAIChatToOllamaChat|Unmarshal|cdc0ef0788af1c25be7a997463473148c1a5660910f5d793f0405b3ce78d3343
relay/channel/ollama/relay-ollama.go|openAIChatToOllamaChat|Unmarshal|07a078b20e64cb7aab1e475cef9ea2651d4a2c279ae38cdec64dd0bf01ea3083
relay/channel/ollama/relay-ollama.go|openAIToGenerate|Unmarshal|cdc0ef0788af1c25be7a997463473148c1a5660910f5d793f0405b3ce78d3343
relay/channel/ollama/relay-ollama.go|FetchOllamaVersion|Unmarshal|63a9dd239b9dc0824369644993015b931b45ec167ed8555e7d530ce84d5c8678
relay/channel/openai/adaptor.go|*Adaptor.ConvertOpenAIRequest|Unmarshal|44a1603ee0e1a8e1df85d054b5b756d4357abc38dbe367a0fb9192cab91c1e25
relay/channel/palm/relay-palm.go|palmStreamHandler|Unmarshal|9e6a91a6205bc2652fded36139425ad52ae7c49ef94ccd023817fca36089ced0
relay/channel/palm/relay-palm.go|palmStreamHandler|Marshal|92981973316a59184c1f9d4fdca6fe3a1045b5da6a30f89abb52b516f1849571
relay/channel/palm/relay-palm.go|palmHandler|Unmarshal|9e6a91a6205bc2652fded36139425ad52ae7c49ef94ccd023817fca36089ced0
relay/channel/replicate/adaptor.go|*Adaptor.ConvertImageRequest|Unmarshal|8657e632acc4f987e7c3c0aed04a081ab0b5762843f4e8a91305c1640357a714
relay/channel/tencent/relay-tencent.go|tencentHandler|Unmarshal|c5c85399232311a43e2b04dcf6ab971f636d174fd3fd7a9c10168b9f3f4a9259
relay/channel/tencent/relay-tencent.go|getTencentSign|Marshal|556c76f2141b112391c2965ec7de57f4ac5225bcabc9df6af104fb7f1bac4a05
relay/channel/volcengine/adaptor.go|*Adaptor.ConvertAudioRequest|Unmarshal|21d62956ab82cf6356638ba2e98ab21e8970ef3fec36d51a2362ea78b972e685
relay/channel/volcengine/adaptor.go|*Adaptor.ConvertAudioRequest|Marshal|6df4bc98beb165214f3179900a7dc69f4c1aaa89816f2699cf59ee2bd83ef3d2
relay/channel/volcengine/tts.go|handleTTSResponse|Unmarshal|1c19ee75effdb9440195e572a78088232532eacc7938c6bf68a28030b8265b5f
relay/channel/volcengine/tts.go|handleTTSWebSocketResponse|Marshal|6df4bc98beb165214f3179900a7dc69f4c1aaa89816f2699cf59ee2bd83ef3d2
relay/common/override_test.go|TestApplyParamOverrideDelete|Unmarshal|692246112d039d019f6ed42cbf2362d484af719d1b9abec92686330698a56345
relay/common/override_test.go|TestApplyParamOverrideSetWildcardPath|Unmarshal|692246112d039d019f6ed42cbf2362d484af719d1b9abec92686330698a56345
relay/common/override_test.go|TestApplyParamOverrideTrimSpaceWildcardPath|Unmarshal|692246112d039d019f6ed42cbf2362d484af719d1b9abec92686330698a56345
relay/common/override_test.go|TestApplyParamOverrideSetWildcardKeepOrigin|Unmarshal|692246112d039d019f6ed42cbf2362d484af719d1b9abec92686330698a56345
relay/common/override_test.go|TestApplyParamOverrideTrimSpaceMultiWildcardPath|Unmarshal|692246112d039d019f6ed42cbf2362d484af719d1b9abec92686330698a56345
relay/common/override_test.go|assertJSONEqual|Unmarshal|1b6e8a2882cd33079a79d74aeb366ef371ac02cbffa6d90f82ab6027c4e989bd
relay/common/override_test.go|assertJSONEqual|Unmarshal|444da0b2c667f90adf285fc754ed502890312ce4837a5ec13c0ffbfb5aaa77bb
relay/helper/model_mapped.go|ModelMappedHelper|Unmarshal|397c955a41ac41e35fdf6469fe18566e192cf9a0762e2594fba342148e25e7b7
service/codex_oauth.go|decodeJWTClaims|Unmarshal|7ca24118dbcd41c0feb7b0767369b64fadf9b9a4b1bcb1e62d1ec99b54f487d0
service/passkey/session.go|SaveSessionData|Marshal|5b9b772fb88d846779cb56c7c4ca8852b09c2b90d1e5ae47e5e29386bd45a06e
service/passkey/session.go|PopSessionData|Unmarshal|337d2d0489c6f4c2daf3edbb46ea8101d8b9b64a46fce59768dbc2aaacf048f6
service/passkey/session.go|PopSessionData|Unmarshal|f2cd8d698a8b3baee9426fd333d1a8ef6eae1c2f3c53939906d9181818b00c76
service/user_notify.go|sendGotifyNotify|Marshal|2af017bb4f8b2b336f7069e3a6f219c0fb04cddbcb36aea984cee19b0af05e40
setting/chat.go|UpdateChatsByJsonString|Unmarshal|9b652f37646cc5b0c6883ad42cfa81aa57bf3ae9ed3f64bf59c0ca4e9024983e
setting/chat.go|Chats2JsonString|Marshal|6d15cc12f47b577c984fd31bbc9ca3e9bbb3702d28b79ac76d58e9aa32e79fdc
setting/console_setting/validation.go|parseJSONArray|Unmarshal|403028caafc69490779d75b66909a63579743ae6b77481ab45fba2b65aa34805
setting/console_setting/validation.go|getJSONList|Unmarshal|403028caafc69490779d75b66909a63579743ae6b77481ab45fba2b65aa34805
setting/rate_limit.go|ModelRequestRateLimitGroup2JSONString|Marshal|c72783cb7874ede43c0e880006216b4e7a02605d568d41c3360f5da2674d41dc
setting/rate_limit.go|UpdateModelRequestRateLimitGroupByJSONString|Unmarshal|7407dc7c4c3c97a8dba391911f2c435cfc531476870e4deef40b633f4cf49463
setting/rate_limit.go|CheckModelRequestRateLimitGroup|Unmarshal|e3bd25b5c46d357559a707ed7efbf4d2659495da494208dce96b6de39f6295d1
setting/user_usable_group.go|UserUsableGroups2JSONString|Marshal|5ab02528b3071cc8ce22854630a142a6ee42cc88ddd9be6965e56fcf6712f0c8
setting/user_usable_group.go|UpdateUserUsableGroupsByJSONString|Unmarshal|f8175ca3d196420af48d2ed1a311b8ee0f25c4d3686b0a83ed673693e4a4580b
